,Date,TSLA,BTC-USD,DOGE-USD
0,2019-02-05,64.2699966430664,3466.357421875,0.001888000057078898
1,2019-02-06,63.444000244140625,3413.767822265625,0.0018660000059753656
2,2019-02-07,61.50199890136719,3399.4716796875,0.0018449999624863267
3,2019-02-08,61.15999984741211,3666.7802734375,0.001955999992787838
4,2019-02-11,62.56800079345703,3648.4306640625,0.001905999961309135
5,2019-02-12,62.36199951171875,3653.528564453125,0.0018939999863505363
6,2019-02-13,61.63399887084961,3632.070556640625,0.001892999978736043
7,2019-02-14,60.75400161743164,3616.880859375,0.0018970000091940165
8,2019-02-15,61.57600021362305,3620.810791015625,0.0019079999765381217
9,2019-02-19,61.12799835205078,3947.094482421875,0.0020669999066740274
10,2019-02-20,60.512001037597656,3999.820556640625,0.002078999998047948
11,2019-02-21,58.24599838256836,3954.1181640625,0.0020280000753700733
12,2019-02-22,58.94200134277344,4005.526611328125,0.002056000055745244
13,2019-02-25,59.75400161743164,3882.6962890625,0.00203000009059906
14,2019-02-26,59.571998596191406,3854.35791015625,0.0020230000372976065
15,2019-02-27,62.948001861572266,3851.04736328125,0.002019000006839633
16,2019-02-28,63.97600173950195,3854.785400390625,0.0019759999122470617
17,2019-03-01,58.95800018310547,3859.583740234375,0.0019940000493079424
18,2019-03-04,57.071998596191406,3761.55712890625,0.001981999957934022
19,2019-03-05,55.30799865722656,3896.375,0.001984999980777502
20,2019-03-06,55.24800109863281,3903.942626953125,0.0019829999655485153
21,2019-03-07,55.31800079345703,3911.484375,0.0019910000264644623
22,2019-03-08,56.827999114990234,3901.131591796875,0.001979999942705035
23,2019-03-11,58.183998107910156,3905.227294921875,0.0019660000689327717
24,2019-03-12,56.672000885009766,3909.15625,0.0020119999535381794
25,2019-03-13,57.79199981689453,3906.71728515625,0.002025000052526593
26,2019-03-14,57.992000579833984,3924.369140625,0.0020389999262988567
27,2019-03-15,55.08599853515625,3960.9111328125,0.002047999994829297
28,2019-03-18,53.89799880981445,4032.50732421875,0.0020830000285059214
29,2019-03-19,53.49399948120117,4071.190185546875,0.0020910000894218683
30,2019-03-20,54.720001220703125,4087.476318359375,0.002061000093817711
31,2019-03-21,54.80400085449219,4029.326904296875,0.0020540000405162573
32,2019-03-22,52.90599822998047,4023.96826171875,0.0020520000252872705
33,2019-03-25,52.08399963378906,3963.070556640625,0.00204299995675683
34,2019-03-26,53.55400085449219,3985.080810546875,0.0020540000405162573
35,2019-03-27,54.965999603271484,4087.066162109375,0.002085000043734908
36,2019-03-28,55.7239990234375,4069.107177734375,0.002073999959975481
37,2019-03-29,55.97200012207031,4098.37451171875,0.002087000058963895
38,2019-04-01,57.83599853515625,4158.18310546875,0.0024610001128166914
39,2019-04-02,57.17599868774414,4879.8779296875,0.002795000094920397
40,2019-04-03,58.36199951171875,4973.02197265625,0.0031640001107007265
41,2019-04-04,53.555999755859375,4922.798828125,0.003696999978274107
42,2019-04-05,54.992000579833984,5036.68115234375,0.003590000094845891
43,2019-04-08,54.63999938964844,5289.77099609375,0.0030449999030679464
44,2019-04-09,54.46200180053711,5204.95849609375,0.0028840000741183758
45,2019-04-10,55.21200180053711,5324.5517578125,0.003020999953150749
46,2019-04-11,53.683998107910156,5064.48779296875,0.0027890000492334366
47,2019-04-12,53.540000915527344,5089.5390625,0.002856000093743205
48,2019-04-15,53.2760009765625,5067.1083984375,0.00279000005684793
49,2019-04-16,54.672000885009766,5235.5595703125,0.0028349999338388443
50,2019-04-17,54.24599838256836,5251.93798828125,0.0028099999763071537
51,2019-04-18,54.652000427246094,5298.3857421875,0.0029460000805556774
52,2019-04-22,52.54999923706055,5399.365234375,0.0027979998849332333
53,2019-04-23,52.779998779296875,5572.3623046875,0.0027719999197870493
54,2019-04-24,51.731998443603516,5464.86669921875,0.002598999999463558
55,2019-04-25,49.5260009765625,5210.515625,0.0025059999898076057
56,2019-04-26,47.02799987792969,5279.34814453125,0.0025190000887960196
57,2019-04-29,48.29399871826172,5247.3525390625,0.0024659999180585146
58,2019-04-30,47.737998962402344,5350.7265625,0.0025130000431090593
59,2019-05-01,46.801998138427734,5402.697265625,0.0025210001040250063
60,2019-05-02,48.81999969482422,5505.28369140625,0.0026110000908374786
61,2019-05-03,51.00600051879883,5768.28955078125,0.0027209999971091747
62,2019-05-06,51.06800079345703,5746.80712890625,0.0025420000310987234
63,2019-05-07,49.4119987487793,5829.50146484375,0.002535999985411763
64,2019-05-08,48.96799850463867,5982.45751953125,0.0025369999930262566
65,2019-05-09,48.395999908447266,6174.52880859375,0.0024999999441206455
66,2019-05-10,47.90399932861328,6378.84912109375,0.0025220001116394997
67,2019-05-13,45.402000427246094,7814.9150390625,0.002756000030785799
68,2019-05-14,46.46200180053711,7994.416015625,0.003068000078201294
69,2019-05-15,46.38999938964844,8205.16796875,0.0033080000430345535
70,2019-05-16,45.66600036621094,7884.9091796875,0.0031679999083280563
71,2019-05-17,42.20600128173828,7343.8955078125,0.0029619999695569277
72,2019-05-20,41.071998596191406,7978.30908203125,0.0030410001054406166
73,2019-05-21,41.01599884033203,7963.32763671875,0.003085999982431531
74,2019-05-22,38.54600143432617,7680.06640625,0.002939000027254224
75,2019-05-23,39.097999572753906,7881.8466796875,0.0029609999619424343
76,2019-05-24,38.125999450683594,7987.37158203125,0.0029949999880045652
77,2019-05-28,37.7400016784668,8719.9619140625,0.0031479999888688326
78,2019-05-29,37.97200012207031,8659.4873046875,0.0031270000617951155
79,2019-05-30,37.64400100708008,8319.47265625,0.0032579998951405287
